A,B , Total 
769924458186469376,https://t.co/AJxfjI7kqg looking a solid team under Guardiola this half? #MciWhu,Sun Aug 28 21:47:49 BDT 2016
769924459469770753,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:50 BDT 2016
769924460153569280,Oh #WHUFC! Who are you? Come on!!!!??,Sun Aug 28 21:47:50 BDT 2016
769924460837216256,RT @BBCSport: HT Man City 2-0 West Ham

A dominant performance from #MCFC so far... https://t.co/f8EQtg79Pe https://t.co/ZVcdBPRnHg,Sun Aug 28 21:47:50 BDT 2016
769924462162706432,@ReptilianGodTsu @ManCity nah mate 17 mins ago,Sun Aug 28 21:47:50 BDT 2016
769924463202893824,Half time
Man City 2:0 West Ham
#MCIWHU https://t.co/0aP9kl4tqX,Sun Aug 28 21:47:51 BDT 2016
769924466105344000,RT @footmercato: Mi-temps, Manchester City 2 - 0 West Ham #MCIWHU,Sun Aug 28 21:47:51 BDT 2016
769924466558238720,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:51 BDT 2016
769924466268835840,Half time
Man City 2:0 West Ham
#MCIWHU https://t.co/6VPIOaqbQH,Sun Aug 28 21:47:51 BDT 2016
769924468676304898,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:52 BDT 2016
769924467791364096,Day 1 video reshoot. #photography #videos #exercise #gym #fitness https://t.co/q5Gnu3Bm6G,Sun Aug 28 21:47:52 BDT 2016
769924471692099584,Beautiful first half @ManCity,Sun Aug 28 21:47:53 BDT 2016
769924472656711681,RT @picardonhealth: For mild #depression, try #exercise before drugs: psychiatrists, by @sharon_kirkey https://t.co/HWTro1v2r5 via @nphealt?,Sun Aug 28 21:47:53 BDT 2016
769924472715509760,Pep Wankfest on full display on the TL and TV! 
West Ham not helping matters by playing like relegation fodder!
#MCIWHU #MCFC,Sun Aug 28 21:47:53 BDT 2016
769924473940213760,Descanso: Man City 2-0 West Ham #PremierLeague,Sun Aug 28 21:47:53 BDT 2016
769924473776726017,If we actually stuck with a 3-5-2 we could have made this interesting but 5-4-1 has posed no real threat #cityvwhu #SuperSunday,Sun Aug 28 21:47:53 BDT 2016
769924474401677314,RT @FutbolSergi: Top football from #MCFC in the first half. Pass between the lines, many chances created and above all entertaining footbal?,Sun Aug 28 21:47:53 BDT 2016
769924475202576384,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:54 BDT 2016
769924475106144257,RT @Football__Tweet: Half time at the Etihad: Manchester City 2 - 0 West Ham United. #MCFC #WHUFC

????? https://t.co/j2Intgd2Ru,Sun Aug 28 21:47:54 BDT 2016
769924476121284608,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:54 BDT 2016
769924477190889473,@premierleague yer ma is oozing,Sun Aug 28 21:47:54 BDT 2016
769924478142914565,Sublime first half from City that!!????#mcfc #keepitup,Sun Aug 28 21:47:54 BDT 2016
769924477715185664,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:54 BDT 2016
769924478784643073,HT Man City 2 West Ham 0 #MCIWHU,Sun Aug 28 21:47:54 BDT 2016
769924479308931072,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:47:55 BDT 2016
769924480290390016,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:47:55 BDT 2016
769924480323899392,SETENGAH BABAK : Manchester City 2-0 West Ham United #MCIWHU #PL LIVE @OfficialRCTI https://t.co/x5lFNigvCb,Sun Aug 28 21:47:55 BDT 2016
769924481125146624,RT @NBCSportsSoccer: .@ManCity is on FIRE right now! #PLonNBC https://t.co/NTTknxI2G0,Sun Aug 28 21:47:55 BDT 2016
769924481787789312,RT @MCFCworld: Raheem Sterling + Confidence = World Class.

#mcfc,Sun Aug 28 21:47:55 BDT 2016
769924483167772672,Get your finger out of your Arse West Ham #coyi,Sun Aug 28 21:47:55 BDT 2016
769924483729752064,#MCIWHU

Sterling looks so out of place compared to all the others. Class act for the other 10, duck bum just running around,Sun Aug 28 21:47:56 BDT 2016
769924484014878729,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:56 BDT 2016
769924486107758592,Great first half #ManCity,Sun Aug 28 21:47:56 BDT 2016
769924486002974720,Just some clips of good punches landed in sparring...
#boxing #sparring #training #practice? https://t.co/PLNzCps1La,Sun Aug 28 21:47:56 BDT 2016
769924486481244160,Watching #MCIWHU game. Clearly Class separates the two teams, besides the 2-0 advantage that #Shitty currently hold.,Sun Aug 28 21:47:56 BDT 2016
769924487861170177,RT @katsouranisk: Congrats my friend @LP10oficial. Wish u all the best! @Arsenal @premierleague @RCDeportivo https://t.co/WVwwsxPQtr,Sun Aug 28 21:47:57 BDT 2016
769924487957606400,Manchester City v WestHam Live Stream: https://t.co/c29CTsm8r1      #OnThisDay #matchday  ?#fpl #bpllive #believe #soccer #Epl

4892,Sun Aug 28 21:47:57 BDT 2016
769924488569974785,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:57 BDT 2016
769924489228513280,@WestHamUtd most depressing 45 minutes of my life,Sun Aug 28 21:47:57 BDT 2016
769924489891184641,Get a room https://t.co/vYYUAAIXvZ,Sun Aug 28 21:47:57 BDT 2016
769924489920581632,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:57 BDT 2016
769924490843258881,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:57 BDT 2016
769924491510181888,@ManCity doing well in possession. Constant movement and options. Great team defending as well,Sun Aug 28 21:47:57 BDT 2016
769924492986429441,Silva and Nolito need to get tuned in together. Some beautiful plays and goals will come if they were on the same page. #MCIWHU,Sun Aug 28 21:47:58 BDT 2016
769924493448019968,Manchester City v WestHam Live Stream: https://t.co/q03aZtIdXK      #MCIWHU #PL #cfc #cityvwhu #WHUFC #sports #gameday #BPL

42815,Sun Aug 28 21:47:58 BDT 2016
769924496136495104,Tears?? #mcfc,Sun Aug 28 21:47:59 BDT 2016
769924496459522052,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:59 BDT 2016
769924497004716033,#MUFC, #MCFC and #CFC in a different league.,Sun Aug 28 21:47:59 BDT 2016
769924497541509120,Intervalo: #PL 

Manchester City 2x0 West Ham.,Sun Aug 28 21:47:59 BDT 2016
769924498405502976,Fan Fest, Game Situations Highlight Final Saturday Practice... #hbcu #sports #news https://t.co/NCNTLzJKzJ,Sun Aug 28 21:47:59 BDT 2016
769924499286351872,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:47:59 BDT 2016
769924501098401792,@ManCity 
Noltio was through ffs,Sun Aug 28 21:48:00 BDT 2016
769924501769445382,I need @aguerosergiokun to score for my Fantasy League,Sun Aug 28 21:48:00 BDT 2016
769924502721400832,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:48:00 BDT 2016
769924502545395712,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:00 BDT 2016
769924503677743104,Xloop #Sunglasses RED & WHITE Rubber w/Colorful Tint Lens Unisex New #sports #Shop #eBay https://t.co/s109kqXO6X https://t.co/Z9BMvuXpaA,Sun Aug 28 21:48:00 BDT 2016
769924503681900544,RT @FutbolSergi: Top football from #MCFC in the first half. Pass between the lines, many chances created and above all entertaining footbal?,Sun Aug 28 21:48:00 BDT 2016
769924503669440512,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:00 BDT 2016
769924504235732993,RT @ManCity: 33. ALMOST THREE! @DeBruyneKev sees his effort deflect just past the post and then tries his luck from WAY out. Just over! 2-0?,Sun Aug 28 21:48:00 BDT 2016
769924505347186688,RT @ManCity: @WestHamUtd We prefer your old one... ??,Sun Aug 28 21:48:01 BDT 2016
769924506328535044,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:01 BDT 2016
769924506785808384,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:01 BDT 2016
769924507154935808,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:01 BDT 2016
769924507641446400,@WestHamUtd tragic,Sun Aug 28 21:48:01 BDT 2016
769924507918303232,Descanso Man. City 2-0 West Ham #ManCity #WestHam #PremierLeague,Sun Aug 28 21:48:01 BDT 2016
769924508387901440,Few dodgy performances and so many people jump on our backs! #WHUFC #seasonstartsseptember,Sun Aug 28 21:48:01 BDT 2016
769924507360305153,RT @ManCityMEN: Half-time. And what a half it was #MCFC https://t.co/PF7ex0qxW4 https://t.co/jNBjEI6xGd,Sun Aug 28 21:48:01 BDT 2016
769924508237045760,2-0 at half time when it was looking like a cricket score on the cards. Optimism pulses through me. Better 2nd half.

#COYI #WESTHAM #WHUFC,Sun Aug 28 21:48:01 BDT 2016
769924508606144512,#premierleague #MANCITY v #WESTHAM 2-0 HT
GOAL STERLING 7. FERNANDINHO 18.
#HALFTIME
#premier #MCI #MCFC #WHU #WHUFC #WH
#MANCHESTER #LONDON,Sun Aug 28 21:48:02 BDT 2016
769924509126262784,RT @GaryLineker: Just knew it would take time for Pep Guardiola to adapt to the @premierleague,Sun Aug 28 21:48:02 BDT 2016
769924509486944256,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:02 BDT 2016
769924509440864256,@WestHamUtd love this fml,Sun Aug 28 21:48:02 BDT 2016
769924509440811008,RT @YahooSoccer: HT: Man City 2-0 West Ham. #MCFC lead on goals by Sterling and Fernandinho. #MCIWHU --> https://t.co/VqAhnUKIiF https://t.?,Sun Aug 28 21:48:02 BDT 2016
769924510359425025,RT @ManCity: @WestHamUtd We prefer your old one... ??,Sun Aug 28 21:48:02 BDT 2016
769924511127011328,RT @Football__Tweet: Half time at the Etihad: Manchester City 2 - 0 West Ham United. #MCFC #WHUFC

????? https://t.co/j2Intgd2Ru,Sun Aug 28 21:48:02 BDT 2016
769924512129449984,WHAT A HALF!!!! @ManCity ??????????,Sun Aug 28 21:48:02 BDT 2016
769924511634427904,RT @Football__Tweet: Half time at the Etihad: Manchester City 2 - 0 West Ham United. #MCFC #WHUFC

????? https://t.co/j2Intgd2Ru,Sun Aug 28 21:48:02 BDT 2016
769924512683069440,Great 1st half in utter control and domination I hope we have same again in 2nd half #PepEra #weareguardiola #MCFC,Sun Aug 28 21:48:02 BDT 2016
769924511961538561,HT! #MCFC 2-0 #WHUFC | LIVE: https://t.co/d1Jbhv7dD4 #MatchdayGoal https://t.co/OiyeIWU1p1,Sun Aug 28 21:48:02 BDT 2016
769924513077268480,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:03 BDT 2016
769924513958129665,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:03 BDT 2016
769924514612293633,great first half boys!! #cityvwhu @ManCity,Sun Aug 28 21:48:03 BDT 2016
769924515199610881,UW volleyballers win 15th straight season opener https://t.co/pbzeLjYZPL #sports #huskies,Sun Aug 28 21:48:03 BDT 2016
769924515166056448,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:03 BDT 2016
769924515413495809,RT @ManCity: 33. ALMOST THREE! @DeBruyneKev sees his effort deflect just past the post and then tries his luck from WAY out. Just over! 2-0?,Sun Aug 28 21:48:03 BDT 2016
769924515501641729,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:03 BDT 2016
769924516961198081,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:04 BDT 2016
769924517493821440,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:04 BDT 2016
769924517577850882,Manchester City v WestHam Live Stream: https://t.co/XLsl7tPGcI      #OnThisDay #matchday  ?#fpl #bpllive #believe #soccer #Epl

-2805,Sun Aug 28 21:48:04 BDT 2016
769924515317030913,#PL - HALFTIME:
Man City have completely dominated the contest and thoroughly deserve their lead at the Etihad. https://t.co/3ZQRml14TX,Sun Aug 28 21:48:03 BDT 2016
769924517842001921,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:48:04 BDT 2016
769924518592778240,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:04 BDT 2016
769924520211865600,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:48:04 BDT 2016
769924520966782976,Intervalo: Manchester City x West Ham, 2-0. #PremierLeague,Sun Aug 28 21:48:04 BDT 2016
769924521717555200,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:05 BDT 2016
769924522271182848,Outstanding first half #mcfc,Sun Aug 28 21:48:05 BDT 2016
769924523185541120,David Silva is baaaaaack to his devastating best #mcfc,Sun Aug 28 21:48:05 BDT 2016
769924523248451586,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:05 BDT 2016
769924524284403712,RT @juventusfcen: OFFICIAL: @SimoneZaza completes move to @WestHamUtd: https://t.co/xiyAO81Kin #GrazieSimo https://t.co/k3rXS4wAdX,Sun Aug 28 21:48:05 BDT 2016
769924524460609537,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:05 BDT 2016
769924526217965568,RT @FutbolSergi: Top football from #MCFC in the first half. Pass between the lines, many chances created and above all entertaining footbal?,Sun Aug 28 21:48:06 BDT 2016
769924528277377024,terpopuler .Hart. where ar u go https://t.co/MSCWuXtxDU,Sun Aug 28 21:48:06 BDT 2016
769924528189349890,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:06 BDT 2016
769924528902443008,Best 45 minutes of football #ManCity has ever seen? #cityvwhu #PremierLeague #Guardiola,Sun Aug 28 21:48:06 BDT 2016
769924530232037376,Fantastic 1st half by @ManCity,Sun Aug 28 21:48:07 BDT 2016
769924530710024192,RT @ManCity: This is how it feels to be City. #mcfc https://t.co/YCnAbgoEl4,Sun Aug 28 21:48:07 BDT 2016
769924529946759168,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:07 BDT 2016
769924531267874820,RT @GaryLineker: Just knew it would take time for Pep Guardiola to adapt to the @premierleague,Sun Aug 28 21:48:07 BDT 2016
769924531708305408,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:07 BDT 2016
769924531444211713,With Payet not in the match day squad Lanzini & Calleri have to come on in the 2nd half #MCIWHU,Sun Aug 28 21:48:07 BDT 2016
769924531662249984,2-0 at half-time. City is a joy to watch, total dominance by them. Very disappointing first half for West Ham. #MCIWHU,Sun Aug 28 21:48:07 BDT 2016
769924532073181184,RT @FutbolSergi: Top football from #MCFC in the first half. Pass between the lines, many chances created and above all entertaining footbal?,Sun Aug 28 21:48:07 BDT 2016
769924531481968640,RT @BBCSport: HT Man City 2-0 West Ham

A dominant performance from #MCFC so far... https://t.co/f8EQtg79Pe https://t.co/ZVcdBPRnHg,Sun Aug 28 21:48:07 BDT 2016
769924532211777536,HT: Manchester City 2-0 West Ham United. 

https://t.co/v07SyLVcZV
#MCIWHU,Sun Aug 28 21:48:07 BDT 2016
769924532782108672,I miss Cresswell :( #WHUFC,Sun Aug 28 21:48:07 BDT 2016
769924533147033600,Just remember blues, this will only get better! #MCFC,Sun Aug 28 21:48:07 BDT 2016
769924533281095681,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:07 BDT 2016
769924532975050752,RT @FootbaIIBattIes: ????
RT for Masuaku
LIKE for Clichy

#MCIWHU https://t.co/uNewxKKpLT,Sun Aug 28 21:48:07 BDT 2016
769924534023708672,HT @ManCity 2:0 West Ham.,Sun Aug 28 21:48:08 BDT 2016
769924534392717313,HALF TIME! @ManCity 2 @WestHamUtd 0 Goals from Sterling and Fernandinho give City a comfortable advantage. @SkySports,Sun Aug 28 21:48:08 BDT 2016
769924534170443776,RT @tugceaaataa: Manchester City v West Ham United

Live Stream : https://t.co/fTzUGb2z4S

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manchest?,Sun Aug 28 21:48:08 BDT 2016
769924535416188932,RT @WeLoveManCityFC: Half-time:

#MCFC 2-0 #WHUFC

A half containing some absolutely scintillating and exciting play. 
Total football!

#Th?,Sun Aug 28 21:48:08 BDT 2016
769924535751733248,That half, from the back to front ?????? @ManCity,Sun Aug 28 21:48:08 BDT 2016
769924536364101633,RT @ManCityMEN: Half-time. And what a half it was #MCFC https://t.co/PF7ex0qxW4 https://t.co/jNBjEI6xGd,Sun Aug 28 21:48:08 BDT 2016
769924536590540800,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:48:08 BDT 2016
769924538490613760,#Wales : #PremierLeague - Round 3 GOAL #TNS 9 - 0 #Rhyl 90th Minute #Livescores,Sun Aug 28 21:48:09 BDT 2016
769924538641645569,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:09 BDT 2016
769924538264150016,Any chance pep will take pity on us and let us progress? https://t.co/rxPurBEoGi,Sun Aug 28 21:48:09 BDT 2016
769924538788409345,RT @premierleague: Two shots on target, two goals... #MCIWHU https://t.co/VYzutML6lx,Sun Aug 28 21:48:09 BDT 2016
769924539585224709,Man city will win the premier league. Calling it 3 games in #MCIWHU #COYH,Sun Aug 28 21:48:09 BDT 2016
769924539652243456,RT @Football__Tweet: Half time at the Etihad: Manchester City 2 - 0 West Ham United. #MCFC #WHUFC

????? https://t.co/j2Intgd2Ru,Sun Aug 28 21:48:09 BDT 2016
769924540205928455,RT @SaifAlmazroui: Me every week watching City under Pep https://t.co/c1Pe714kw1,Sun Aug 28 21:48:09 BDT 2016
769924541019750400,RT @Ladbrokes: West Ham fans to Payet... #MCIWHU https://t.co/QxNu2PAhH7,Sun Aug 28 21:48:09 BDT 2016
769924541757984768,RT @OfficialFPL: GOAL - Sterling
ASSIST - Nolito 

Man City 1-0 West Ham

#MCIWHU #FPL,Sun Aug 28 21:48:09 BDT 2016
769924542550552577,RT @ManCity: This is how it feels to be City. #mcfc https://t.co/YCnAbgoEl4,Sun Aug 28 21:48:10 BDT 2016
769924544245084161,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:10 BDT 2016
769924544249360384,@BBCSport 
Fernandinho Goal Man City v West Ham 28 08 16 https://t.co/VSpHDPqNex  #WBAMID #BelgiumGP #MCIWHU #FilmAnAdvert,Sun Aug 28 21:48:10 BDT 2016
769924544299696129,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:10 BDT 2016
769924544626888704,Rewind to 45:30 mins til HT. Have you ever heard a quieter atmosphere in a stadium? Wtf are the #mcfc fans doing, playing "sleeping lions"?,Sun Aug 28 21:48:10 BDT 2016
769924544413007872,Why do city fans go to the Etihad dressed as empty seats? #MCFC #PremierLeague #emptyhad,Sun Aug 28 21:48:10 BDT 2016
769924544723193856,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:10 BDT 2016
769924546745040896,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:48:11 BDT 2016
769924547009060864,RT @WeLoveManCityFC: Half-time:

#MCFC 2-0 #WHUFC

A half containing some absolutely scintillating and exciting play. 
Total football!

#Th?,Sun Aug 28 21:48:11 BDT 2016
769924547130687489,Yow, @sterling7 a real Jamaican enuh. Pree the plait dem. Ha ha, mad. #MCIWHU #cityvwhu,Sun Aug 28 21:48:11 BDT 2016
769924547755798528,So many empty seats at #MCFC I would be ashamed to support such a shite club, maybe so are a lot of scummy mancs,Sun Aug 28 21:48:11 BDT 2016
769924548728881152,Manchester City v WestHam Live Stream: https://t.co/yM0BF17IXJ      #aguero #ManchesterCity #ManCity #cmoncity #mcfc #cityvwhu

49346,Sun Aug 28 21:48:11 BDT 2016
769924549223718913,RT @ManCity: 33. ALMOST THREE! @DeBruyneKev sees his effort deflect just past the post and then tries his luck from WAY out. Just over! 2-0?,Sun Aug 28 21:48:11 BDT 2016
769924549978619905,Radwanska crushes Kvitova to ease into Connecticut final: https://t.co/sqExb0TWuq Connecticut Open #AgnieszkaRadwanska #tennis #sports,Sun Aug 28 21:48:11 BDT 2016
769924548800159748,#PL - HT called!

@ManCity 2-0 @WestHamUtd https://t.co/KFbAObdlcV,Sun Aug 28 21:48:11 BDT 2016
769924548871462912,#PL - HT called!

@ManCity 2-0 @WestHamUtd https://t.co/8Wgppm795w,Sun Aug 28 21:48:11 BDT 2016
769924550624702464,Manchester City v WestHam Live Stream: https://t.co/kGRviQoG02      #football #voetball #goals  #PremierLeague #cityvwhu

25481,Sun Aug 28 21:48:12 BDT 2016
769924550654042112,So do we!! https://t.co/HgG20ZQkO4,Sun Aug 28 21:48:12 BDT 2016
769924551518158852,What a half. Wonderful football being played by #MCFC.,Sun Aug 28 21:48:12 BDT 2016
769924551341932544,@KelechiNacho @ManCity Aguero goal needed #Captian,Sun Aug 28 21:48:12 BDT 2016
769924552163983360,@TheRealLizRose what about like a sporty outfit? Like a hot football jersey outfit #FootballSeason,Sun Aug 28 21:48:12 BDT 2016
769924552860106752,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:12 BDT 2016
769924552818356224,@BelgianDrogba @ManCity how long have you been planning this?,Sun Aug 28 21:48:12 BDT 2016
769924556681338880,RT @SuperSportBlitz: #PL ? HT Score: Manchester City 2-0 West Ham #SSFootball,Sun Aug 28 21:48:13 BDT 2016
769924557251629056,RT @FootballFanCast: Guardiola really can do it in a half-empty stadium in Manchester then...#MCIWHU,Sun Aug 28 21:48:13 BDT 2016
769924557784358912,RT @FootbaIIBattIes: RT for Antonio
LIKE for Sterling

#MCIWHU https://t.co/CYs6YMhjWi,Sun Aug 28 21:48:13 BDT 2016
769924557604024320,RT @Football__Tweet: Half time at the Etihad: Manchester City 2 - 0 West Ham United. #MCFC #WHUFC

????? https://t.co/j2Intgd2Ru,Sun Aug 28 21:48:13 BDT 2016
769924683059851265,RT @FootbaIIBattIes: ????
RT for Masuaku
LIKE for Clichy

#MCIWHU https://t.co/uNewxKKpLT,Sun Aug 28 21:48:43 BDT 2016
769924683416367104,RT @feriha_gunn: Manchester City v West Ham United

Live Stream : https://t.co/m9RIrqWPo7 

s1k1g1 #mcfc #ManCity #cityvwhu #WHUFC #Manches?,Sun Aug 28 21:48:43 BDT 2016
769924683647053824,RT @DadgerAllum82: That is definitely the son of Vincent Kompany!! ?? #MCYWHU #SuperSunday https://t.co/0rDTbJXPt5,Sun Aug 28 21:48:43 BDT 2016
769924684104273920,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:43 BDT 2016
769924685026856960,RT @henrywinter: 2-0 ht #mcfc masterclass. Merciless pressing/endless interchanging. Team before self. Silva challenging Collins in air, Ag?,Sun Aug 28 21:48:44 BDT 2016
769924684787965953,RT @GulbenEreli: Manchester City v West Ham United

Live Stream : https://t.co/H2b46Rqpue

s1k1g1 #mcfc #ManCity #cityvwhu #MCIWHU #FPL #EP?,Sun Aug 28 21:48:44 BDT 2016
769924685089820674,that was a good half my side #mcfc ?? 2-0,Sun Aug 28 21:48:44 BDT 2016
769924684980727809,RT @premierleague: Man City in control and oozing confidence #MCIWHU https://t.co/YUTu3bvtob,Sun Aug 28 21:48:44 BDT 2016
769924685542805504,RT @premierleague: GOAL Man City 1-0 West Ham (7 mins). Nolito pulls it back to the penalty spot where Raheem Sterling arrives to convert #?,Sun Aug 28 21:48:44 BDT 2016
769924685664493568,RT @WestHamUtd: 45+1: We will have 2??? minutes of added time [2-0] ? #MCYWHU,Sun Aug 28 21:48:44 BDT 2016
769924686184579072,Love yourself. Be yourself! ???????? @LGBTfdn #ManchesterPride #EqualityWins https://t.co/D2nNdyd7g8,Sun Aug 28 21:48:44 BDT 2016
769924684620107777,West Ham in the first half.. #WHUFC https://t.co/gfCcWJDTqw,Sun Aug 28 21:48:43 BDT 2016
769924689657532416,Why an international break ???? #PremierLeague #arsenal,Sun Aug 28 21:48:45 BDT 2016
769924689829429248,Rubbish.

No desire, no quality, no shape, no heart, no tactics, no confidence, no defence, no midfield, no forwards. 

No hope.
#whufc,Sun Aug 28 21:48:45 BDT 2016
769924690244665344,RT @BSchweinsteiger: Three wins in three @premierleague games! Congratulations! @ManUtd,Sun Aug 28 21:48:45 BDT 2016
769924690651537409,Figured we would lose today and was hoping for a surprise. #COYI #WestHam,Sun Aug 28 21:48:45 BDT 2016
769924690903199744,RT @GhgfhrdyjyMatch: Manchester City v WestHam Live Stream: https://t.co/R1z1KH0oag      #aguero #ManchesterCity #ManCity #cmoncity #mcfc #?,Sun Aug 28 21:48:45 BDT 2016
769924691972780032,RT @ManchesterPride: Salford LGBT youth club #ManchesterPride https://t.co/Yhf3EQbMNb,Sun Aug 28 21:48:45 BDT 2016
769924692450869248,RT @bobclark56: Love slaven but cant work out his formation this season all over the place #whufc,Sun Aug 28 21:48:45 BDT 2016
769924693075697664,RT @footballmcd: Aside from Stones #MCFC are quite a small side. The trouble is getting enough of the ball.,Sun Aug 28 21:48:45 BDT 2016
